datetime,combined_m,Thgt,Tper,R2,TWL
2025-05-24 00:00:00,0.329449285530079,1.67,15.873015,1.102124577528312,1.431573863058391
2025-05-24 01:00:00,0.41879072943011414,1.66,15.624999,1.0816507788459717,1.5004415082760858
2025-05-24 02:00:00,0.37879605477324196,1.65,15.624999,1.078387873134714,1.457183927907956
2025-05-24 03:00:00,0.21558344379392436,1.64,15.624999,1.0751150647581529,1.2906985085520772
2025-05-24 04:00:00,-0.026192781939376294,1.63,15.624999,1.0718322630037977,1.0456394810644214
2025-05-24 05:00:00,-0.27561716090391397,1.62,15.624999,1.0685393757657027,0.7929222148617887
2025-05-24 06:00:00,-0.45832719862942184,1.62,15.384614,1.0521002810916205,0.5937730824621986
2025-05-24 07:00:00,-0.5210848049798054,1.62,15.384614,1.0521002810916205,0.5310154761118151
2025-05-24 08:00:00,-0.44485673953565663,1.63,15.384614,1.0553425084417547,0.6104857689060981
2025-05-24 09:00:00,-0.2430549631294881,1.64,15.384614,1.0585748054696953,0.8155198423402072
2025-05-24 10:00:00,0.04289691138151095,1.64,15.151515,1.04253587666848,1.085432788049991
2025-05-24 11:00:00,0.34986425984408,1.65,14.925373,1.0301019056201082,1.3799661654641882
2025-05-24 12:00:00,0.6079679264985367,1.66,14.705881,1.0180242339385863,1.625992160437123
2025-05-24 13:00:00,0.7557354642406617,1.68,14.705881,1.0241385485763415,1.7798740128170032
2025-05-24 14:00:00,0.7507871866220671,1.6999999,14.492752,1.0152858503442987,1.766073036966366
2025-05-24 15:00:00,0.5835029336095483,1.7199999,14.492752,1.021240657475241,1.6047435910847894
2025-05-24 16:00:00,0.28741447194698083,1.75,14.492752,1.0301083559377389,1.3175228278847197
2025-05-24 17:00:00,-0.06653733796112773,1.77,14.492752,1.0359779667270288,0.9694406287659011
2025-05-24 18:00:00,-0.3908196413785398,1.79,14.492752,1.0418145084970671,0.6509948671185273
2025-05-24 19:00:00,-0.6091692896679982,1.81,14.285714,1.0326526499025832,0.423483360234585
2025-05-24 20:00:00,-0.678584516468299,1.8299999,14.285714,1.0383422108732459,0.35975769440494687
2025-05-24 21:00:00,-0.5940057418369598,1.8499999,14.285714,1.0440007937386855,0.44999505190172573
2025-05-24 22:00:00,-0.3832764041311058,1.87,14.084507,1.0348454114763395,0.6515690073452336
2025-05-24 23:00:00,-0.10152133280788588,1.88,13.888888,1.0231973943220967,0.9216760615142108
2025-05-25 00:00:00,0.18122991160582114,1.89,13.698629,1.0118614047565304,1.1930913163623516
2025-05-25 01:00:00,0.39687991338747874,1.9,13.513514,1.0008249452398579,1.3977048586273366
2025-05-25 02:00:00,0.49099931559901644,1.91,13.513514,1.0034552387251594,1.4944545543241758
2025-05-25 03:00:00,0.4350877957970209,1.92,13.513514,1.0060786555908878,1.4411664513879088
2025-05-25 04:00:00,0.24118221623816316,1.9599999,13.513514,1.0165045936735972,1.2576868099117604
2025-05-25 05:00:00,-0.035445376013002704,2.0,13.333333,1.0131336698678433,0.9776882938548406
2025-05-25 06:00:00,-0.3116962600066177,2.05,13.333333,1.0257196638679504,0.7140234038613327
2025-05-25 07:00:00,-0.5040219953197395,2.03,13.333333,1.0207038897325622,0.5166818944128228
2025-05-25 08:00:00,-0.556566097165994,2.0,13.333333,1.0131336698678433,0.4565675727018492
2025-05-25 09:00:00,-0.45425228945100155,1.9699999,13.333333,1.0055064317062292,0.5512541422552277
2025-05-25 10:00:00,-0.21923045506541564,1.9399999,13.157894,0.9846916660110577,0.7654612109456421
2025-05-25 11:00:00,0.09620762186843872,1.92,13.157894,0.9796028113729272,1.0758104332413658
2025-05-25 12:00:00,0.4200206631061599,1.89,12.499999,0.9233235346103048,1.3433441977164646
2025-05-25 13:00:00,0.6775249428340727,1.86,12.499999,0.9159662577226593,1.5934912005567319
2025-05-25 14:00:00,0.8054600486497927,1.8399999,12.499999,0.9110283735025471,1.7164884221523398
2025-05-25 15:00:00,0.7627363957305501,1.8199999,12.345679,0.8948777042650583,1.6576140999956084
2025-05-25 16:00:00,0.5458046458868879,1.81,12.345679,0.8924158872420849,1.4382205331289728
2025-05-25 17:00:00,0.19887868231481698,1.79,12.345679,0.8874717168587143,1.0863503991735313
2025-05-25 18:00:00,-0.19431281933340672,1.78,12.345679,0.8849892736271961,0.6906764542937894
2025-05-25 19:00:00,-0.535543831656824,1.77,12.345679,0.8824998473916189,0.34695601573479495
2025-05-25 20:00:00,-0.7443927865927982,1.76,12.345679,0.8800033788896886,0.13561059229689043
2025-05-25 21:00:00,-0.7813773678235489,1.75,12.345679,0.8774998080161084,0.09612244019255944
2025-05-25 22:00:00,-0.6505332395757797,1.74,12.345679,0.8749890738056934,0.22445583422991366
2025-05-25 23:00:00,-0.3915014285465003,1.74,12.195122,0.8643184796662405,0.47281705111974026
2025-05-26 00:00:00,-0.06997114850327117,1.73,11.904761,0.841311368659976,0.7713402201567049
2025-05-26 01:00:00,0.23787934640885966,1.7199999,17.241379,1.2149243446475737,1.4528036910564333
2025-05-26 02:00:00,0.46146170451259894,1.7199999,16.949152,1.194332389882046,1.6557940943946448
2025-05-26 03:00:00,0.5460062924336543,1.7099999,16.949152,1.190855432113043,1.736861724546697
2025-05-26 04:00:00,0.4660383413082718,1.6999999,16.949152,1.187368292849748,1.6534066341580198
2025-05-26 05:00:00,0.24104063254361638,1.6899999,16.949152,1.1838708821221628,1.4249115146657791
2025-05-26 06:00:00,-0.0632647155392328,1.67,16.949152,1.1768449149366484,1.1135801993974157
2025-05-26 07:00:00,-0.3537144032742326,1.66,16.949152,1.1733161366332734,0.8196017333590409
2025-05-26 08:00:00,-0.5416701486119263,1.65,16.949152,1.1697767133755967,0.6281065647636704
2025-05-26 09:00:00,-0.5736564852002309,1.64,16.949152,1.166226548243349,0.592570063043118
