system:index,CII,RFI,aspect,chirps_30d,chirps_7d,compound_risk,dist_water,elevation,event_id,flood,flood_driver,freeboard_fes,imerg_24h,imerg_3d,imerg_peak_intensity,lt0,lt1,lt3,onshore_wind,rain_intensity_ratio,season_wet,slope,soil_moisture,solar_rad,split,spring_flag_fes,surface_pressure,tide_anomaly,tide_max_fes,tide_range_fes,u_wind_10m,v_wind_10m,wind_dir,wind_speed,.geo
0_0,0.8037735849056604,0.6610005937821671,90.0,274.8891878128052,67.19404029846191,0.16072025895118713,0.0,-2,jun2019,1.0,2,2.7119999999999997,23.85999870300293,103.19599914550781,13.399999618530273,1,1,1,0.5934706573247905,0.04857022388141709,1.0,1.8640331029891968,0.3669440448284149,168.1182403564453,train,0,101113.140625,-0.038000000000000034,0.712,1.528,2.8918800354003906,3.731182336807251,52.22226534134705,4.720666453971281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.7352999690000477,0.6607917536865869,116.44354248046875,284.34056282043457,76.26091003417969,0.16058941185474396,0.0,0,jun2019,1.0,2,0.712,23.85999870300293,103.19599914550781,13.399999618530273,0,1,1,0.3873699927806853,0.04696142562444906,1.0,2.081854820251465,0.36672669649124146,154.16064453125,train,0,100922.40625,-0.038000000000000034,0.712,1.528,1.7519750595092773,2.299804210662842,52.70009860574137,2.8911098243624496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.3078148530521315,0.5211119599639477,243.56019592285156,281.485426902771,69.87790012359619,0.06799843907356262,0.0,6,jun2019,1.0,1,-5.288,25.979999542236328,107.7135009765625,11.670000076293945,0,0,0,0.46069233055114744,0.04131186590489377,1.0,2.082127571105957,0.20372413098812103,153.779052734375,train,0,100981.796875,-0.038000000000000034,0.712,1.528,2.1872518062591553,2.838775396347046,52.386060476336645,3.583673564219998,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.8037735849056604,0.7781016432476897,163.97113037109375,285.1886534690857,83.70484733581543,0.25944194197654724,0.0,-12,jun2019,1.0,2,12.712,38.5,125.05349731445312,16.53999900817871,1,1,1,0.46069233055114744,0.05779404182411227,1.0,6.724015235900879,0.3670542240142822,153.779052734375,train,0,100981.796875,-0.038000000000000034,0.712,1.528,2.1872518062591553,2.838775396347046,52.386060476336645,3.583673564219998,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27,0.3790623723767842,0.6772941508604096,251.6575469970703,289.0698642730713,77.49413299560547,0.1744878590106964,0.0,5,jun2019,1.0,1,-4.288,25.924999237060547,107.40149688720703,13.50999927520752,0,0,0,0.3873699927806853,0.04657498395796548,1.0,2.9446659088134766,0.36672669649124146,154.16064453125,train,0,100922.40625,-0.038000000000000034,0.712,1.528,1.7519750595092773,2.299804210662842,52.70009860574137,2.8911098243624496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30,0.8037735849056604,0.6790251048546225,288.3453369140625,293.3430004119873,75.93665790557861,0.17721079289913177,0.0,-1,jun2019,1.0,2,1.712,27.44499969482422,107.1604995727539,10.529999732971191,1,1,1,0.6303342977285382,0.035774588552241825,1.0,2.9442214965820312,0.3558862507343292,161.40185546875,train,0,101134.828125,-0.038000000000000034,0.712,1.528,2.980257272720337,3.8716931343078613,52.41252267977894,4.885892051391342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35,0.2037735849056604,0.7781016432476897,170.48646545410156,285.1886534690857,83.70484733581543,0.25944194197654724,0.0,10,jun2019,1.0,1,-9.288,38.5,125.05349731445312,16.53999900817871,0,0,0,0.3873699927806853,0.05779404182411227,1.0,5.624413967132568,0.3670542240142822,154.16064453125,train,0,100922.40625,-0.038000000000000034,0.712,1.528,1.7519750595092773,2.299804210662842,52.70009860574137,2.8911098243624496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,0.5215574110260897,0.6776088571061831,288.3410949707031,303.2859535217285,81.037841796875,0.17470212280750275,0.0,3,jun2019,1.0,1,-2.2880000000000003,25.924999237060547,107.40149688720703,13.50999927520752,0,0,0,0.3873699927806853,0.04439902374344334,1.0,2.9448766708374023,0.3670542240142822,154.16064453125,train,0,100922.40625,-0.038000000000000034,0.712,1.528,1.7519750595092773,2.299804210662842,52.70009860574137,2.8911098243624496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,0.8037735849056604,0.559017113102892,90.0,235.48686265945435,49.75645923614502,0.08319664746522903,0.0,-2,jun2019,1.0,2,2.7119999999999997,29.96500015258789,118.6199951171875,14.0,1,1,1,0.46069233055114744,0.059199905832233356,1.0,3.7255849838256836,0.21003010869026184,153.779052734375,train,0,100981.796875,-0.038000000000000034,0.712,1.528,2.1872518062591553,2.838775396347046,52.386060476336645,3.583673564219998,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_49,0.3790623723767842,0.6785519425768411,225.158935546875,312.4855194091797,87.61472415924072,0.17663103342056274,0.0,5,jun2019,1.0,1,-4.288,31.024999618530273,122.18000030517578,14.880000114440918,0,0,0,0.46069233055114744,0.04746630767023937,1.0,5.24658203125,0.32561877369880676,153.779052734375,train,0,100981.796875,-0.038000000000000034,0.712,1.528,2.1872518062591553,2.838775396347046,52.386060476336645,3.583673564219998,"{""type"":""MultiPoint"",""coordinates"":[]}"
