event_id,coastal_fraction,twl_max,phase_align,rain_evidence,coastal_evidence,compound_index,regime
sep2025_market,0.4375,1.49,0.9156,0.7660931944847107,0.6838390231132507,0.6838390231132507,COMPOUND
jun2019,0.35638297872340424,1.728,0.9252,0.8210380226373672,0.6728115677833557,0.6728115677833557,COMPOUND
oct2023,0.6119402985074627,1.769,0.9908,0.7509617656469345,0.6722190380096436,0.6722190380096436,COMPOUND
jun2022,0.4727272727272727,1.786,0.9746,0.8165624439716339,0.6528447270393372,0.6528447270393372,COMPOUND
jun2021,0.4793388429752066,1.571,0.9143,0.7266461849212646,0.6281762719154358,0.6281762719154358,COMPOUND
may2021,0.49612403100775193,1.561,0.95,0.3812016248703003,0.6281762719154358,0.3812016248703003,coastal
mar2025,1.0,1.672,0.8167,0.4767757058143616,0.581554651260376,0.4767757058143616,coastal
feb2025,1.0,1.518,0.7612,0.41315335035324097,0.5813280344009399,0.41315335035324097,coastal
feb2024,1.0,1.527,0.7914,0.4135308861732483,0.5629204511642456,0.4135308861732483,coastal
nov2021,0.6923076923076923,2.04,1.0,0.4511902332305908,0.4359712302684784,0.4359712302684784,weak/uncertain
jan2025,0.7899159663865546,1.555,0.83,0.4135308861732483,0.41450098156929016,0.4135308861732483,weak/uncertain
jul2023,0.06976744186046512,1.712,0.8987,0.7616420388221741,0.2584713399410248,0.2584713399410248,rain
jun2020,0.36036036036036034,1.883,0.9547,0.8278854489326477,0.2287931591272354,0.2287931591272354,rain
jun2023,0.3277310924369748,1.747,0.9278,0.7949992269277573,0.21576493978500366,0.21576493978500366,rain
may2026_downpour,0.5285714285714286,1.956,0.8769,0.7842465490102768,0.20770694315433502,0.20770694315433502,rain
jun2026_floodgates,0.38636363636363635,1.661,0.7869,0.8320526033639908,0.18633818626403809,0.18633818626403809,rain
may2025,0.575,1.904,0.9413,0.854122057557106,0.18513181805610657,0.18513181805610657,rain
jul2020,0.23387096774193547,1.855,0.834,0.7561198770999908,0.18448291718959808,0.18448291718959808,rain
apr2022,0.5546875,1.825,0.9471,0.3631778955459595,0.18323925137519836,0.18323925137519836,weak/uncertain
jul2019,0.36082474226804123,1.742,0.9005,0.7773151695728302,0.1780192255973816,0.1780192255973816,rain
sep2023,0.010752688172043012,1.732,0.9243,0.8271862119436264,0.17088831961154938,0.17088831961154938,rain
jun2025_lawoshime,0.38271604938271603,1.949,0.94,0.315396785736084,0.1666206568479538,0.1666206568479538,weak/uncertain
jul2022,0.5423728813559322,2.056,0.8835,0.8114676922559738,0.14706724882125854,0.14706724882125854,rain
