threshold,flagged_frac,recall,precision
0.05,0.39361154044307056,1.0,0.45287958115183247
0.1,0.39206594538897477,0.9980732177263969,0.45378887428821724
0.15,0.3884595569294178,0.98747591522158,0.4531388152077807
0.2,0.3704276146316332,0.9470134874759152,0.45572554473806215
0.25,0.34226343809033144,0.8805394990366089,0.4586051179126944
0.3,0.29984544049459044,0.779383429672447,0.46334478808705615
0.35,0.2514167954662545,0.6551059730250481,0.4644808743169399
0.4,0.2010990898162459,0.5279383429672447,0.46797608881298036
0.45,0.1497509874635068,0.3930635838150289,0.46788990825688076
0.5,0.1028679374892667,0.2649325626204239,0.4590984974958264
0.55,0.06354113000171732,0.15703275529865124,0.44054054054054054
0.6,0.03846814356860725,0.09152215799614644,0.42410714285714285
0.65,0.020951399622187877,0.051059730250481696,0.4344262295081967
0.7,0.010132234243517087,0.023121387283236993,0.4067796610169492
0.8,0.0010303967027305513,0.002890173410404624,0.5
