datetime,combined_m,Thgt,Tper,R2,TWL
2025-06-25 00:00:00,-0.30781911972834636,1.18,14.285714,0.8337886520612185,0.5259695323328721
2025-06-25 01:00:00,0.0012090611481727692,1.1899999,14.285714,0.8373141660174181,0.8385232271655909
2025-06-25 02:00:00,0.2791094654524819,1.1899999,14.084507,0.8255210227834247,1.1046304882359066
2025-06-25 03:00:00,0.4657071274913615,1.18,14.084507,0.8220451638942792,1.2877522913856407
2025-06-25 04:00:00,0.5133030331810196,1.18,13.888888,0.8106278205030027,1.3239308536840224
2025-06-25 05:00:00,0.4059738820363298,1.18,13.888888,0.8106278205030027,1.2166017025393325
2025-06-25 06:00:00,0.1750246312211953,1.18,13.888888,0.8106278205030027,0.985652451724198
2025-06-25 07:00:00,-0.10584687387330984,1.18,13.698629,0.7995233146202367,0.6936764407469269
2025-06-25 08:00:00,-0.34607637448656653,1.18,13.698629,0.7995233146202367,0.4534469401336702
2025-06-25 09:00:00,-0.4733556000798266,1.18,13.888888,0.8106278205030027,0.33727222042317617
2025-06-25 10:00:00,-0.45678411458491913,1.18,13.888888,0.8106278205030027,0.3538437059180836
2025-06-25 11:00:00,-0.30654990414260896,1.1899999,13.888888,0.8140554033651609,0.507505499222552
2025-06-25 12:00:00,-0.0629346750507275,1.1899999,13.888888,0.8140554033651609,0.7511207283144334
2025-06-25 13:00:00,0.21568532971137608,1.1999999,13.888888,0.8174686488242235,1.0331539785355996
2025-06-25 14:00:00,0.46650949429200145,1.2099999,13.888888,0.8208677018088776,1.287377196100879
2025-06-25 15:00:00,0.6306490619645383,1.22,13.888888,0.8242527716807484,1.4549018336452866
2025-06-25 16:00:00,0.6575067869213983,1.22,13.698629,0.8129616223758359,1.4704684092972342
2025-06-25 17:00:00,0.5196708333260462,1.23,13.698629,0.8162866326631881,1.3359574659892344
2025-06-25 18:00:00,0.2334192674532507,1.24,13.513514,0.8085225993839862,1.0419418668372369
